Abkhazian	ab	abk
Afar	aa	aar
Afrikaans	af	afr
Albanian	sq	sqi
Albanian	sq	sqi
Amharic	am	amh
Arabic	ar	ara
Armenian	hy	arm
Armenian	hy	hye
Avestan	ae	ave
Aymara	ay	aym
Azerbaijani	az	aze
Bashkir	ba	bak
Basque	eu	baq
Basque	eu	eus
Bengali	bn	ben
Bihari	bh	bih
Bislama	bi	bis
Bosnian	bs	bos
Breton	br	bre
Bulgarian	bg	bul
Catalan	ca	cat
Burmese	my	mya
Burmese	my	bur
Chinese	ch	cha
Chechen	ce	che
Church Slavic	cu	chu
Chinese	zh	chi
Chinese	zh	zho
Slavonic	cu	chu
Old Bulgarian	cu	chu
Chuvash	cv	chv
Cornish	kw	cor
Corsican	co	cos
Croatian	hr	hrv
Croatian	hr	scr
Czech	cs	cze
Czech	cz	ces
Danish	da	dan
Divehi	dv	div
Dhivehi	dv	div
Maldivian	dv	div
Dutch	nl	nld
Dutch	nl	dut
Dzongkha	dz	dzo
English	en	eng
Esperanto	eo	epo
Faroese	fo	fao
Fijian	fj	fij
Finnish	fi	fin
French	fr	fre
French	fr	fra
Gaelic	gd	gla 
Scottish Gaelic	gd	gla
Galician	gl	glg
Georgian	ka	kat
Georgian	ka	geo
German	de	ger
German	de	deu
Greek	el	gre
Greek	el	ell
Guarani	gn	grn
Gujarati	gu	guj
Haitian	ht	hat
Haitian Creole	ht	hat
Hausa	ha	hau
Hebrew	he	heb
Herero	hz	her
Hindi	hi	hin
Hiri Motu	ho	hmo
Hungarian	hu	hun
Ido	io	ido
Indonesian	id	ind
Inuktitut	iu	iku
Inupiaq	ik	ipk
Irish	ga	gle
Italian	it	ita
Japanese	ja	jpn
Javanese	jv	jav
Kalaallisut	kl	kal
Kannada	kn	kan
Kashmiri	ks	kas
Kazakh	kk	kaz
Khmer	km	khm
Kikuyu	ki	kik
Gikuyu	ki	kik
Kinyarwanda	rw	kin
Kirghiz	ky	kir
Komi	kv	kom
Korean	ko	kor
Kuanyama	kj	kua
Kwanyama	kj	kua
Kurdish	ku	kur
Lao	lo	lao
Latvian	lv	lav
Limburgan	li	lim
Limburger	li	lim
Limburgish	li	lim
Lingala	ln	lin
Lithuanian	lt	lit
Luxembourgish	lb	ltz
Letzeburgesch	lb	ltz
Macedonian	mk	mac
Macedonian	mk	mkd
Malagasy	mg	mlg
Malay	ms	msa
Malay	ms	may
Malayalam	ml	mal
Manx	gv	glv
Maori	mi	mao
Maori	mi	mri
Marathi	mr	mar
Marshallese	mh	mah
Moldavian	mo	mol
Mongolian	mn	mon
Nauru	na	nau
Navaho, Navajo	nv	nav
Ndebele, North	nd	nde
Ndebele, South	nr	nbl
Ndonga	ng	ndo
Nepali	ne	nep
Northern Sami	se	sme
Norwegian	no	nor
Norwegian Bokmal	nb	nob
Norwegian Nynorsk	nn	nno
Nyanja	ny	nya
Chichewa	ny	nya
Chewa	ny	nya
Provencal	oc	oci
Ossetian	os	oss 
Ossetic	os	oss
Pali	pi	pli
Panjabi	pa	pan
Persian	fa	fas
Persian	fa	per
Polish	pl	pol
Portuguese	pt	por
Pushto	ps	pus
Quechua	qu	que
Raeto-Romance	rm	roh
Romanian	ro	ron
Romanian	ro	rum
Rundi	rn	run
Russian	ru	rus
Samoan	sm	smo
Sanskrit	sa	san
Sardinian	sc	srd
Serbian	sr	srp
Serbian	sr	scc
Shona	sn	sna
Sichuan Yi	ii	iii
Sindhi	sd	snd
Slovak	sk	slo
Slovak	sk	slk
Slovenian	sl	slv
Spanish	es	spa
Castilian	es	spa
Swahili	sw	swa
Swati	ss	ssw
Swedish	sv	swe
Tagalog	tl	tgl
Tahitian	ty	tah
Tajik	tg	tgk
Tamil	ta	tam
Tatar	tt	tat
Telugu	te	tel
Thai	th	tha
Tibetan	bo	tib
Tibetan	bo	bod
Tigrinya	ti	tir
Tsonga	ts	tso
Tswana	tn	tsn
Turkish	tr	tur
Turkmen	tk	tuk
Twi	tw	twi
Uighur	ug	uig
Ukrainian	uk	ukr
Urdu	ur	urd
Uzbek	uz	uzb
Vietnamese	vi	vie
Volapuk	vo	vol
Walloon	wa	wln
Welsh	cy	cym
Welsh	cy	wel
Wolof	wo	wol
Xhosa	xh	xho
Yiddish	yi	yid
Yoruba	yo	yor
Zulu	zu	zul
